Wave (nm),Transmission,Norm Trans
356,0.58,0.48
390,0.69,0.58
424,0.78,0.65
469,0.87,0.73
514,0.93,0.78
546,0.96,0.80
561,0.96,0.80
569,0.96,0.80
576,0.96,0.80
580,0.98,0.81
584,0.98,0.81
588,0.97,0.81
593,0.98,0.82
604,1.00,0.83
616,1.01,0.84
626,1.01,0.84
626,0.98,0.82
632,1.01,0.84
637,1.03,0.86
642,1.04,0.86
647,1.03,0.86
650,1.04,0.87
655,1.05,0.87
671,1.07,0.89
681,1.08,0.90
684,1.08,0.90
685,0.94,0.78
691,1.05,0.87
696,1.07,0.89
699,1.06,0.88
703,1.08,0.90
705,1.08,0.89
711,1.09,0.91
714,1.08,0.90
717,1.02,0.84
721,1.07,0.89
724,1.04,0.87
731,1.05,0.87
731,1.09,0.90
733,1.09,0.91
736,1.09,0.90
740,1.11,0.92
747,1.12,0.93
757,1.12,0.93
759,1.07,0.89
761,0.41,0.34
767,1.08,0.90
768,1.12,0.93
775,1.13,0.94
785,1.13,0.94
788,1.12,0.93
793,1.12,0.93
796,1.12,0.93
798,1.13,0.93
801,1.12,0.93
806,1.13,0.94
811,1.13,0.93
816,1.08,0.90
821,1.11,0.92
828,1.11,0.92
836,1.13,0.94
843,1.14,0.95
846,1.15,0.95
850,1.15,0.95
858,1.16,0.96
875,1.16,0.96
888,1.16,0.96
892,1.15,0.96
897,1.06,0.88
900,1.04,0.87
903,1.11,0.92
907,1.05,0.87
910,1.06,0.88
913,1.04,0.86
918,1.06,0.88
920,1.11,0.92
927,1.09,0.91
934,0.75,0.62
939,0.99,0.83
943,0.86,0.71
946,0.90,0.75
953,0.96,0.80
956,1.01,0.84
964,1.05,0.87
969,1.13,0.94
975,1.10,0.91
979,1.14,0.95
984,1.16,0.96
986,1.18,0.98
995,1.19,0.99
1002,1.19,0.99
1005,1.19,0.99
1009,1.18,0.98
1011,1.19,0.99
1017,1.19,0.99
1023,1.19,0.99
1027,1.20,1.00
1032,1.20,1.00
1044,1.20,1.00
1048,1.20,1.00
