Wave(nm),Trans.,
649.937, 0.0,
651.0749, 0.0502,
651.7081, 0.1015,
652.3432, 0.1983,
652.6399, 0.2496,
652.684, 0.2995,
652.8124, 0.3501,
653.151, 0.3984,
653.1952, 0.4498,
653.3656, 0.4996,
653.7043, 0.5502,
653.7064, 0.6,
654.0029, 0.6484,
654.2154, 0.6989,
654.6381, 0.7496,
655.0189, 0.8002,
655.568, 0.8508,
656.1163, 0.8843,
656.8729, 0.8694,
657.5028, 0.8411,
658.0059, 0.8002,
658.2562, 0.7496,
658.5906, 0.6997,
658.5885, 0.6484,
658.7968, 0.6,
658.9209, 0.5502,
659.0871, 0.5003,
659.3794, 0.449,
659.3773, 0.3984,
659.6698, 0.3515,
659.8359, 0.3009,
660.0862, 0.2496,
660.3786, 0.1997,
660.713, 0.1484,
661.0064, 0.1223,
661.1734, 0.0926,
661.8031, 0.0591,
662.0544, 0.0323,
662.5165, 0.0181,
663.9042, 0.0,
