Label,Type,Start,End,Center,Avg.,SEM,WAvg.,WEM
380NUV,Filter,379.000,381.000,380.000,0.038,0.003,0.038,0.001,
450BLU,Filter,410.000,510.000,460.000,0.768,0.012,0.670,0.001,
486HIB,Line  ,485.000,486.000,485.500,0.949,0.003,0.950,0.009,
501OIII,Line  ,496.000,502.000,499.000,0.955,0.003,0.959,0.003,
550GRN,Filter,480.000,570.000,525.000,0.933,0.003,0.948,0.001,
650RED,Filter,610.000,685.000,647.500,0.538,0.008,0.537,0.001,
656HIA,Line  ,655.000,657.000,656.000,0.499,0.001,0.499,0.004,
672SII,Line  ,671.000,673.000,672.000,0.435,0.001,0.435,0.004,
685NIR,Filter,685.000,1050.000,867.500,0.075,0.004,0.137,0.000,
685-742,Filter,685.000,742.000,713.500,0.267,0.005,0.267,0.001,
714ArIII,Line  ,713.000,715.000,714.000,0.265,0.001,0.265,0.004,
742NIR,Filter,742.000,1050.000,896.000,0.040,0.002,0.057,0.000,
742-807,Filter,742.000,807.000,774.500,0.118,0.003,0.124,0.000,
775ArIII,Line  ,774.000,775.000,774.500,0.120,0.000,0.120,0.002,
807NIR,Filter,807.000,1050.000,928.500,0.019,0.001,0.021,0.000,
889CH4,Filter,888.000,890.000,889.000,0.025,0.000,0.025,0.000,
907SIII,Line  ,906.000,908.000,907.000,0.017,0.000,0.017,0.000,
953SIII,Line  ,952.000,954.000,953.000,0.006,0.000,0.006,0.000,
